Year,Season,IndiaAreaWeighted_tmin_C,ValidDays
1987,PostMonsoon,67.52859001403556,92
1988,Winter,66.31393027384316,60
1988,PreMonsoon,69.51086163378046,92
1988,Monsoon,70.55896189680323,122
1988,PostMonsoon,67.28174768305728,92
1989,Winter,65.65350867742141,59
1989,PreMonsoon,69.16318556342746,92
1989,Monsoon,70.35891983248334,122
1989,PostMonsoon,67.28662789996085,92
1990,Winter,67.35073581765377,59
1990,PreMonsoon,69.99345330571732,92
1990,Monsoon,71.20585029492618,122
1990,PostMonsoon,68.31112585466211,92
1991,Winter,66.23320838295173,59
1991,PreMonsoon,69.54230537470144,92
1991,Monsoon,70.67544010344534,122
1991,PostMonsoon,67.4700384818782,92
1992,Winter,65.92137657267997,60
1992,PreMonsoon,69.28106738971846,92
1992,Monsoon,70.56264671026716,122
1992,PostMonsoon,67.3976689177416,92
1993,Winter,66.73324744239754,59
1993,PreMonsoon,69.6725738670153,92
1993,Monsoon,70.95945297639133,122
1993,PostMonsoon,67.8813946414674,92
1994,Winter,66.70792531764182,59
1994,PreMonsoon,69.86837608730252,92
1994,Monsoon,70.89043143902781,122
1994,PostMonsoon,67.73484437419995,92
1995,Winter,67.42719688035898,59
1995,PreMonsoon,70.52586997531567,92
1995,Monsoon,71.79509600571126,122
1995,PostMonsoon,68.8289079964906,92
1996,Winter,67.56629561008607,60
1996,PreMonsoon,70.72120099429394,92
1996,Monsoon,71.61820700747354,122
1996,PostMonsoon,68.51006493114883,92
1997,Winter,66.39153439040813,59
1997,PreMonsoon,69.65335407904927,92
1997,Monsoon,71.08167774695741,122
1997,PostMonsoon,68.32251283233595,92
1998,Winter,66.92607199649467,59
1998,PreMonsoon,70.09989075787999,92
1998,Monsoon,71.30909254650585,122
1998,PostMonsoon,68.31820906956436,92
1999,Winter,68.05656558048867,59
1999,PreMonsoon,71.17918590437623,92
1999,Monsoon,72.14577230422591,122
1999,PostMonsoon,69.23296071453662,92
2000,Winter,66.803608053967,60
2000,PreMonsoon,70.1373047652706,92
2000,Monsoon,71.13864679052763,122
2000,PostMonsoon,68.15608147194025,92
2001,Winter,66.58936461979188,59
2001,PreMonsoon,70.01879041317312,92
2001,Monsoon,71.06590457451333,122
2001,PostMonsoon,68.1967876691083,92
2002,Winter,67.02726164665343,59
2002,PreMonsoon,70.25240911833085,92
2002,Monsoon,71.14101327500893,122
2002,PostMonsoon,68.29202495478764,92
2003,Winter,66.51931464594404,59
2003,PreMonsoon,69.71431477468195,92
2003,Monsoon,70.80770496123684,122
2003,PostMonsoon,67.7002358216639,92
2004,Winter,66.61694506442475,60
2004,PreMonsoon,70.19250700362458,92
2004,Monsoon,70.98688306706062,122
2004,PostMonsoon,67.88868680182189,92
2005,Winter,66.69100740973876,59
2005,PreMonsoon,69.86056322953327,92
2005,Monsoon,71.09416622066898,122
2005,PostMonsoon,67.70433278078555,92
2006,Winter,66.36848278242644,59
2006,PreMonsoon,69.4477636467643,92
2006,Monsoon,70.53663310456824,122
2006,PostMonsoon,67.70903979865838,92
2007,Winter,66.52452748867037,59
2007,PreMonsoon,69.83427709270315,92
2007,Monsoon,70.95542225371555,122
2007,PostMonsoon,67.68625859847485,92
2008,Winter,66.09034037964012,60
2008,PreMonsoon,69.78309929076293,92
2008,Monsoon,70.8614348700925,122
2008,PostMonsoon,68.38727302670134,92
2009,Winter,67.17583859460667,59
2009,PreMonsoon,70.26157631270715,92
2009,Monsoon,71.57529434491516,122
2009,PostMonsoon,68.55437230499737,92
2010,Winter,66.83222824074686,59
2010,PreMonsoon,70.56019706356176,92
2010,Monsoon,71.26180399619889,122
2010,PostMonsoon,68.35200896244147,92
2011,Winter,66.61077693954435,59
