Date,IndiaAreaWeighted_tmin_C,Year,Month
1960-02-01,68.84647063334452,1960,2
1960-02-02,68.59670516770825,1960,2
1960-02-03,68.3512659075341,1960,2
1960-02-04,68.09280965059425,1960,2
1960-02-05,68.23415094911496,1960,2
1960-02-06,68.43751106195313,1960,2
1960-02-07,68.49599606299972,1960,2
1960-02-08,68.5243088228485,1960,2
1960-02-09,68.73739409217097,1960,2
1960-02-10,68.98901995349686,1960,2
1960-02-11,69.12209935935037,1960,2
1960-02-12,69.24985439266386,1960,2
1960-02-13,69.20101757389362,1960,2
1960-02-14,69.3659101700942,1960,2
1960-02-15,69.40319298558452,1960,2
1960-02-16,69.49908509753828,1960,2
1960-02-17,69.42339536670778,1960,2
1960-02-18,69.4112950796147,1960,2
1960-02-19,69.2973490398743,1960,2
1960-02-20,69.24834976978394,1960,2
1960-02-21,69.29271840445438,1960,2
1960-02-22,69.38515648063601,1960,2
1960-02-23,69.49914816478969,1960,2
1960-02-24,69.40372079838654,1960,2
1960-02-25,69.36774412319888,1960,2
1960-02-26,69.40376576167236,1960,2
1960-02-27,69.63592946280484,1960,2
1960-02-28,69.83628463518238,1960,2
1960-02-29,69.86944321571625,1960,2
1960-03-01,69.8693355145764,1960,3
1960-03-02,69.8180224843021,1960,3
1960-03-03,69.8751421159999,1960,3
1960-03-04,70.3301464286659,1960,3
1960-03-05,70.45093412377935,1960,3
1960-03-06,70.22167727721023,1960,3
1960-03-07,70.10016435207933,1960,3
1960-03-08,70.0100409948118,1960,3
1960-03-09,70.05551586023236,1960,3
1960-03-10,70.29311903945322,1960,3
1960-03-11,70.17329206929111,1960,3
1960-03-12,70.00544159114519,1960,3
1960-03-13,70.16817515382593,1960,3
1960-03-14,70.25548276844042,1960,3
1960-03-15,70.36005091131435,1960,3
1960-03-16,70.68339016947483,1960,3
1960-03-17,70.58000295666056,1960,3
1960-03-18,70.50816893108471,1960,3
1960-03-19,70.4212321014165,1960,3
1960-03-20,70.39339088774463,1960,3
1960-03-21,70.17140299622649,1960,3
1960-03-22,69.67735934755414,1960,3
1960-03-23,69.19596416755103,1960,3
1960-03-24,69.31124668383835,1960,3
1960-03-25,69.60207776551103,1960,3
1960-03-26,70.10725278673048,1960,3
1960-03-27,70.72760822056881,1960,3
1960-03-28,70.75608993703783,1960,3
1960-03-29,70.778089545993,1960,3
1960-03-30,70.99300531276451,1960,3
1960-03-31,71.11905698163784,1960,3
1960-04-01,71.11829020379857,1960,4
1960-04-02,71.0298893208997,1960,4
1960-04-03,70.99756582220026,1960,4
1960-04-04,71.11129841052633,1960,4
1960-04-05,71.34386082861946,1960,4
1960-04-06,70.86096548937378,1960,4
1960-04-07,70.89687207408609,1960,4
1960-04-08,71.2091706653478,1960,4
1960-04-09,71.51834231564138,1960,4
1960-04-10,71.22864708798126,1960,4
1960-04-11,71.0497829641344,1960,4
1960-04-12,71.31559429049736,1960,4
1960-04-13,71.59295746809752,1960,4
1960-04-14,71.82326975311874,1960,4
1960-04-15,72.03456384063946,1960,4
1960-04-16,72.33007118013924,1960,4
1960-04-17,72.46946851814,1960,4
1960-04-18,72.40828734015754,1960,4
1960-04-19,72.00802092394277,1960,4
1960-04-20,71.89609754621581,1960,4
1960-04-21,71.89708330052193,1960,4
1960-04-22,72.08526657177788,1960,4
1960-04-23,72.22212357781108,1960,4
1960-04-24,72.12044464983211,1960,4
1960-04-25,72.11231170874971,1960,4
1960-04-26,71.9820336400518,1960,4
1960-04-27,72.09440272821735,1960,4
1960-04-28,72.01112865004679,1960,4
1960-04-29,72.1391002546812,1960,4
1960-04-30,72.3041755802229,1960,4
1960-05-01,72.34562375487855,1960,5
1960-05-02,72.70006886803986,1960,5
1960-05-03,72.75013082300478,1960,5
1960-05-04,72.84984477623749,1960,5
1960-05-05,72.58894706558803,1960,5
1960-05-06,72.30892421630243,1960,5
1960-05-07,72.25957643795152,1960,5
1960-05-08,72.09364394112472,1960,5
1960-05-09,72.00422836851938,1960,5
1960-05-10,72.24551587598,1960,5
1960-05-11,72.42691576654184,1960,5
1960-05-12,72.69310207974935,1960,5
1960-05-13,72.96036892487618,1960,5
1960-05-14,73.02128967463558,1960,5
1960-05-15,73.05263500479549,1960,5
1960-05-16,72.64270631729923,1960,5
1960-05-17,72.6690461077392,1960,5
1960-05-18,72.65345231365171,1960,5
1960-05-19,72.86444022618873,1960,5
1960-05-20,73.03456245343504,1960,5
1960-05-21,73.08826374783446,1960,5
1960-05-22,73.2197084034775,1960,5
