Date,IndiaAreaWeighted_tmax_C,Year,Month
1959-02-03,73.16983447939118,1959,2
1959-02-04,73.09118472717762,1959,2
1959-02-05,72.8872766589105,1959,2
1959-02-06,73.00396179620827,1959,2
1959-02-07,73.11084363763892,1959,2
1959-02-08,73.28127349161844,1959,2
1959-02-09,73.54930664130697,1959,2
1959-02-10,73.82075397418558,1959,2
1959-02-11,73.783200011098,1959,2
1959-02-12,73.9557837757083,1959,2
1959-02-13,73.85676430427563,1959,2
1959-02-14,73.95008302210094,1959,2
1959-02-15,73.99402142329261,1959,2
1959-02-16,73.94162126377489,1959,2
1959-02-17,73.76793004793481,1959,2
1959-02-18,73.71915875213224,1959,2
1959-02-19,73.90896655925712,1959,2
1959-02-20,73.92458465699404,1959,2
1959-02-21,73.96463096024128,1959,2
1959-02-22,74.08213397567594,1959,2
1959-02-23,74.50280693036039,1959,2
1959-02-24,74.55980716247933,1959,2
1959-02-25,74.5777783673393,1959,2
1959-02-26,74.4651290990835,1959,2
1959-02-27,74.58463899333503,1959,2
1959-02-28,75.01273481990705,1959,2
1959-03-01,75.23134125074475,1959,3
1959-03-02,75.30659322619798,1959,3
1959-03-03,75.28508275719321,1959,3
1959-03-04,74.89883246636201,1959,3
1959-03-05,74.72235055412072,1959,3
1959-03-06,74.78205401051736,1959,3
1959-03-07,74.63962592036233,1959,3
1959-03-08,74.92960876923428,1959,3
1959-03-09,75.14248277523821,1959,3
1959-03-10,75.36757100832283,1959,3
1959-03-11,75.31704926279745,1959,3
1959-03-12,75.412179180513,1959,3
1959-03-13,75.42701885825457,1959,3
1959-03-14,75.42004070230453,1959,3
1959-03-15,75.46527157658235,1959,3
1959-03-16,75.58614487162716,1959,3
1959-03-17,75.75857579592986,1959,3
1959-03-18,75.80505225164374,1959,3
1959-03-19,75.8896397764621,1959,3
1959-03-20,76.05466196303492,1959,3
1959-03-21,76.23561223879301,1959,3
1959-03-22,76.59392604388867,1959,3
1959-03-23,76.73935082601706,1959,3
1959-03-24,76.86975865540461,1959,3
1959-03-25,76.80928446666833,1959,3
1959-03-26,76.26357561095844,1959,3
1959-03-27,75.9312535036245,1959,3
1959-03-28,76.12862938828879,1959,3
1959-03-29,76.17242509444675,1959,3
1959-03-30,76.1299487283974,1959,3
1959-03-31,75.50020849205258,1959,3
1959-04-01,75.13737002554188,1959,4
1959-04-02,75.49848487054118,1959,4
1959-04-03,75.88944803043857,1959,4
1959-04-04,76.03336966415948,1959,4
1959-04-05,76.16538988390617,1959,4
1959-04-06,76.01541467929853,1959,4
1959-04-07,76.25349219314434,1959,4
1959-04-08,76.63351584469955,1959,4
1959-04-09,76.76464311365085,1959,4
1959-04-10,77.13749237352029,1959,4
1959-04-11,77.3229783737159,1959,4
1959-04-12,77.36380130762105,1959,4
1959-04-13,77.31975576103841,1959,4
1959-04-14,77.38281082570889,1959,4
1959-04-15,77.36113215266045,1959,4
1959-04-16,77.19459022061491,1959,4
1959-04-17,76.89626111511016,1959,4
1959-04-18,76.31781314616177,1959,4
1959-04-19,75.84710431053601,1959,4
1959-04-20,75.76652755944014,1959,4
1959-04-21,76.1333352408308,1959,4
1959-04-22,76.42143725937188,1959,4
1959-04-23,76.58603728116775,1959,4
1959-04-24,76.63546950947794,1959,4
1959-04-25,76.72872764128125,1959,4
1959-04-26,76.86227056650412,1959,4
1959-04-27,77.17348308089998,1959,4
1959-04-28,77.20445156058597,1959,4
1959-04-29,77.54542442688765,1959,4
1959-04-30,77.61508374673669,1959,4
1959-05-01,77.37676331013111,1959,5
1959-05-02,77.27057073288438,1959,5
1959-05-03,77.4296659091918,1959,5
1959-05-04,77.53756769337815,1959,5
1959-05-05,77.35576604956906,1959,5
1959-05-06,77.22781672026846,1959,5
1959-05-07,77.2066977141344,1959,5
1959-05-08,77.21047716285692,1959,5
1959-05-09,77.34983367427056,1959,5
1959-05-10,77.4109093151298,1959,5
1959-05-11,77.46359230084839,1959,5
1959-05-12,77.3990768625854,1959,5
1959-05-13,77.53785271869637,1959,5
1959-05-14,77.52825225046537,1959,5
1959-05-15,77.23522991716925,1959,5
1959-05-16,77.26105119218589,1959,5
1959-05-17,77.42945855622733,1959,5
1959-05-18,76.96945855044906,1959,5
1959-05-19,76.93185829983867,1959,5
